fecha_hora,id_sesion,tipo_sesion,ear,mar,estado_cabeza,mirando_abajo,parpadeos_total,parpadeos_por_minuto,cabeceos_total,cabeza_abajo_sostenida,bostezos,microsuenos,perclos
2026-05-07 18:17:24.091,20260507_181554,normal,0.2758,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:24.601,20260507_181554,normal,0.261,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:25.110,20260507_181554,normal,0.2594,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:25.616,20260507_181554,normal,0.2693,0.0169,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:26.122,20260507_181554,normal,0.2626,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:26.664,20260507_181554,normal,0.2439,0.0,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:27.175,20260507_181554,normal,0.2557,0.0172,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:27.733,20260507_181554,normal,0.2634,0.0172,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:28.241,20260507_181554,normal,0.2567,0.0,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:28.750,20260507_181554,normal,0.2581,0.0,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:29.295,20260507_181554,normal,0.2792,0.0172,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:29.810,20260507_181554,normal,0.2842,0.0,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:30.322,20260507_181554,normal,0.2751,0.0,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:30.866,20260507_181554,normal,0.2742,0.0,frente,0,2,1,0,0,0,0,0.0067
2026-05-07 18:17:31.377,20260507_181554,normal,0.2693,0.0172,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:31.881,20260507_181554,normal,0.2585,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:32.441,20260507_181554,normal,0.2746,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:32.972,20260507_181554,normal,0.2721,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:33.515,20260507_181554,normal,0.2702,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:34.030,20260507_181554,normal,0.2698,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:34.530,20260507_181554,normal,0.2702,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:35.076,20260507_181554,normal,0.2894,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:35.603,20260507_181554,normal,0.2861,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:36.146,20260507_181554,normal,0.2466,0.0244,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:36.692,20260507_181554,normal,0.2705,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:37.221,20260507_181554,normal,0.2655,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:37.767,20260507_181554,normal,0.2653,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:38.296,20260507_181554,normal,0.2596,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:38.808,20260507_181554,normal,0.24,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:39.336,20260507_181554,normal,0.2614,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:39.852,20260507_181554,normal,0.2734,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:40.356,20260507_181554,normal,0.2781,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:40.924,20260507_181554,normal,0.2728,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:41.428,20260507_181554,normal,0.2778,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:41.963,20260507_181554,normal,0.2788,0.0169,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:42.492,20260507_181554,normal,0.2907,0.0,frente,0,2,1,0,0,0,0,0.0
